day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,-1.7881145802243527E11,-3.347066746975145E10,8335456.85376512
2,-2.1040753189466003E11,-3.8325647994422935E10,8392449.430514367
3,-2.4198222160470325E11,-4.3176612199231224E10,8449265.867248304
4,-2.7354071817834943E11,-4.802460792515452E10,8505964.022612246
5,-3.0508652750865704E11,-5.2870321821611015E10,8562578.52292952
6,-3.366221282685302E11,-5.771422776908509E10,8619131.411249092
7,-3.6814933740091675E11,-6.255666633417956E10,8675637.41742818
8,-3.99669526378412E11,-6.739789037611083E10,8732106.778631335
9,-4.311837558103907E11,-7.223809272207825E10,8788546.845020793
10,-4.626928627870751E11,-7.707742374242258E10,8844963.040949602
11,-4.9419751956417303E11,-8.191600294213826E10,8901359.464899655
12,-5.256982741760137E11,-8.67539268545691E10,8957739.277427582
13,-5.571955792669564E11,-9.159127456638979E10,9014104.959772587
14,-5.886898130171893E11,-9.642811167766362E10,9070458.490866233
15,-6.201812946287692E11,-1.0126449319986351E11,9126801.471339196
16,-6.516702959848586E11,-1.0610046571594287E11,9183135.212204728
17,-6.83157050563461E11,-1.1093606901683455E11,9239460.799459573
18,-7.146417603465494E11,-1.1577133735950475E11,9295779.141928725
19,-7.461246012422777E11,-1.2060630044686046E11,9352091.007236294
20,-7.776057273884304E11,-1.2544098420012846E11,9408397.049221596
21,-8.09085274603135E11,-1.30275411374268E11,9464697.829098135
22,-8.405633631778799E11,-1.3510960205317647E11,9520993.831972374
23,-8.720401001577435E11,-1.399435740517869E11,9577285.479877425
24,-9.03515581217813E11,-1.447773432452907E11,9633573.142158398
25,-9.349898922186754E11,-1.4961092384077164E11,9689857.143823242
26,-9.664631105046738E11,-1.5444432860292358E11,9746137.77231481
27,-9.979353059943427E11,-1.592775690428574E11,9802415.283046199
28,-1.0294065421017096E12,-1.6411065557700635E11,9858689.90395877
29,-1.0608768765189976E12,-1.6894359766163608E11,9914961.839301376
30,-1.0923463618850199E12,-1.7377640390731723E11,9971231.272784298
31,-1.1238150463587336E12,-1.7860908217683792E11,1.0027498370227339E7
32,-1.1552829741136565E12,-1.834416396693484E11,1.0083763281795979E7
33,-1.1867501857658977E12,-1.8827408299299725E11,1.0140026143899845E7
34,-1.218216718746223E12,-1.931064182278965E11,1.0196287080812685E7
35,-1.2496826076247087E12,-1.979386509809206E11,1.025254620606132E7
36,-1.2811478843950588E12,-2.027707864335775E11,1.0308803623621907E7
37,-1.31261257872445E12,-2.07602829383977E11,1.0365059428954644E7
38,-1.344076718173805E12,-2.1243478428374792E11,1.0421313709902378E7
39,-1.3755403283925964E12,-2.172666552706172E11,1.047756654747398E7
40,-1.4070034332916348E12,-2.2209844619724753E11,1.0533818016529774E7
41,-1.438466055196761E12,-2.2693016065683823E11,1.0590068186383337E7
42,-1.4699282149859236E12,-2.3176180200591525E11,1.0646317121331593E7
43,-1.5013899322117466E12,-2.365933733846729E11,1.0702564881123234E7
44,-1.5328512252113958E12,-2.414248777351759E11,1.0758811521373857E7
45,-1.564312111205291E12,-2.4625631781768665E11,1.0815057093934938E7
46,-1.5957726063859949E12,-2.5108769622534457E11,1.087130164722267E7
47,-1.6272327259984294E12,-2.55919015397393E11,1.0927545226511769E7
48,-1.6586924844124163E12,-2.607502776311229E11,1.0983787874198666E7
49,-1.6901518951884048E12,-2.6558148509267996E11,1.1040029630037807E7
50,-1.7216109711371436E12,-2.704126398268623E11,1.1096270531354303E7
51,-1.7530697243739507E12,-2.7524374376601996E11,1.11525106132357E7
52,-1.7845281663681602E12,-2.800747987381531E11,1.1208749908705303E7
53,-1.8159863079882505E12,-2.849058064742941E11,1.1264988448879108E7
54,-1.8474441595430996E12,-2.8973676861524817E11,1.1321226263108188E7
55,-1.8789017308197578E12,-2.94567686717758E11,1.1377463379108116E7
56,-1.910359031118087E12,-2.993985622601509E11,1.1433699823076785E7
57,-1.9418160692825715E12,-3.0422939664751953E11,1.1489935619801892E7
